date,length,sex,age,strata
2024-05-27,820,M,1.3,1
2024-06-01,340,M,1.1,1
2024-06-03,390,M,1.1,1
2024-06-03,610,M,1.2,1
2024-06-06,595,M,1.2,1
2024-06-06,390,M,1.1,1
2024-06-06,390,M,1.1,1
2024-06-10,400,M,1.1,1
2024-06-10,450,M,1.1,1
2024-06-11,350,M,1.1,1
2024-06-11,810,F,1.3,1
2024-06-15,610,M,1.2,1
2024-06-15,625,M,1.2,1
2024-06-15,340,M,1.1,1
2024-06-16,510,M,1.1,1
2024-06-16,620,M,1.2,1
2024-06-16,620,M,1.2,1
2024-06-16,540,M,"3,6",1
2024-06-16,430,M,1.1,1
2024-06-16,560,M,1.2,1
2024-06-16,450,M,1.1,1
2024-06-16,510,M,1.1,1
2024-06-17,798,F,1.3,1
2024-06-17,770,F,1.3,1
2024-06-17,640,M,1.2,1
2024-06-17,620,M,1.2,1
2024-06-19,500,M,1.1,1
2024-06-21,340,M,1.1,1
2024-06-21,590,M,1.2,1
2024-06-21,545,M,1.2,1
2024-06-21,490,M,1.1,1
2024-06-22,390,M,"3,5",1
2024-06-22,550,M,1.1,1
2024-06-23,500,M,"4,5",1
2024-06-23,570,M,1.2,1
2024-06-23,390,M,"3,6",1
2024-06-23,590,M,1.2,1
2024-06-23,430,M,1.1,1
2024-06-23,580,M,1.2,1
2024-06-23,410,M,1.1,1
2024-06-23,470,M,1.1,1
2024-06-23,380,M,1.1,1
2024-06-24,660,F,1.2,1
2024-06-24,460,M,"3,6",1
2024-06-24,590,F,1.2,1
2024-06-24,620,M,1.2,1
2024-06-24,380,M,1.1,1
2024-06-25,500,F,"3,6",1
2024-06-25,460,M,1.1,1
2024-06-25,360,M,1.1,1
2024-06-25,740,M,1.3,1
2024-06-25,470,M,1.1,1
2024-06-25,450,M,1.1,1
2024-06-25,480,M,1.1,1
2024-06-25,380,M,1.1,1
2024-06-26,510,M,1.1,1
2024-06-26,450,M,1.1,1
2024-06-26,400,M,"3,6",1
2024-06-26,500,M,1.1,1
2024-06-26,585,F,1.2,1
2024-06-26,420,M,1.1,1
2024-06-26,580,F,1.2,1
2024-06-26,500,M,1.1,1
2024-06-26,820,F,1.3,1
2024-06-26,790,F,1.3,1
2024-06-27,810,M,1.3,1
2024-06-27,580,M,1.1,1
2024-06-27,510,M,1.1,1
2024-06-27,490,M,"3,6",1
2024-06-27,660,M,1.2,1
2024-06-27,360,M,1.1,1
2024-06-27,480,M,1.1,1
2024-06-27,610,F,1.1,1
2024-06-27,480,M,"3,6",1
2024-06-28,610,M,"3,6",1
2024-06-28,580,M,1.1,1
2024-06-28,680,M,1.2,1
2024-06-28,480,M,1.1,1
2024-06-28,400,M,"3,6",1
2024-06-28,520,M,1.1,1
2024-06-28,630,M,1.2,1
2024-06-28,710,F,1.2,1
2024-06-28,400,M,"3,6",1
2024-06-28,590,M,"3,6",1
2024-06-28,900,F,1.4,1
2024-06-28,390,M,"3,6",1
2024-06-28,610,M,"3,6",1
2024-06-28,710,F,1.3,1
2024-06-28,640,M,1.2,1
2024-06-29,780,F,1.3,1
2024-06-29,640,M,1.2,1
2024-06-29,550,M,1.1,1
2024-06-29,550,M,1.1,1
2024-06-29,390,M,1.1,1
2024-06-29,360,M,1.1,1
2024-06-29,330,M,1.1,1
2024-06-29,810,F,1.3,1
2024-06-30,570,M,1.1,1
2024-06-30,520,M,1.1,1
2024-06-30,640,M,1.2,1
2024-06-30,650,M,1.2,1
2024-06-30,470,M,1.1,1
2024-07-01,500,M,1.1,1
2024-07-01,680,M,1.2,1
2024-07-01,820,M,1.3,1
2024-07-01,640,M,1.2,1
2024-07-01,630,M,1.2,1
2024-07-01,560,M,1.1,1
2024-07-01,560,M,1.1,1
2024-07-01,630,M,1.1,1
2024-07-03,630,M,1.1,1
2024-07-03,600,M,1.1,1
2024-07-03,680,M,1.2,1
2024-07-03,530,M,1.1,1
2024-07-03,560,M,1.1,1
2024-07-03,420,M,1.1,1
2024-07-04,760,F,1.3,1
2024-07-04,560,M,1.1,1
2024-07-04,630,M,1.2,1
2024-07-04,510,M,"3,6",1
2024-07-04,590,M,1.2,1
2024-07-04,560,M,"3,6",1
2024-07-04,550,M,1.1,1
2024-07-04,620,M,1.2,1
2024-07-04,530,M,1.1,1
2024-07-04,530,M,1.1,1
2024-07-04,590,M,1.2,1
2024-07-04,560,M,1.1,1
2024-07-04,600,M,1.2,1
2024-07-04,590,M,1.2,1
2024-07-05,570,M,"4,6",1
2024-07-05,600,M,1.2,1
2024-07-05,510,M,1.1,1
2024-07-05,720,M,1.3,1
2024-07-07,640,M,1.2,1
2024-07-07,790,F,1.3,1
2024-07-07,630,M,1.2,1
2024-07-07,700,M,1.2,1
2024-07-08,380,M,1.1,1
2024-07-08,410,M,1.1,1
2024-07-08,450,M,1.1,1
2024-07-08,460,M,"3,4,6",1
2024-07-08,380,M,1.1,1
2024-07-09,550,M,1.1,1
2024-07-09,630,M,1.2,1
2024-07-09,460,M,1.1,1
2024-07-11,570,F,1.2,1
2024-07-11,820,F,1.3,1
2024-07-11,450,M,1.1,1
2024-07-12,400,M,1.1,1
2024-07-13,470,M,1.1,1
2024-07-13,440,M,1.1,1
2024-07-14,480,M,1.1,1
2024-07-15,670,M,1.2,1
2024-07-15,460,M,1.1,1
2024-07-15,470,M,1.1,1
2024-07-15,440,M,1.1,1
2024-07-15,580,M,"3,6",1
2024-07-15,490,M,1.1,1
2024-07-15,500,M,1.1,1
2024-07-15,460,M,1.1,1
2024-07-15,430,M,"3,6",1
2024-07-16,580,M,1.1,1
2024-07-16,500,M,1.1,1
